ds,HOUR,y
1/1/16,0,0
1/1/16,1,0
1/1/16,2,0
1/1/16,3,0
1/1/16,4,0
1/1/16,5,0
1/1/16,6,0
1/1/16,7,0
1/1/16,8,0
1/1/16,9,0.3
1/1/16,10,1.8
1/1/16,11,5.5
1/1/16,12,9.3
1/1/16,13,10.2
1/1/16,14,10.5
1/1/16,15,12.4
1/1/16,16,3
1/1/16,17,0.3
1/1/16,18,0
1/1/16,19,0
1/1/16,20,0
1/1/16,21,0
1/1/16,22,0
1/1/16,23,0
1/2/16,0,0
1/2/16,1,0
1/2/16,2,0
1/2/16,3,0
1/2/16,4,0
1/2/16,5,0
1/2/16,6,0
1/2/16,7,0
1/2/16,8,0
1/2/16,9,1
1/2/16,10,3.3
1/2/16,11,3.1
1/2/16,12,5.4
1/2/16,13,5.9
1/2/16,14,4.2
1/2/16,15,3.7
1/2/16,16,1.6
1/2/16,17,0.2
1/2/16,18,0
1/2/16,19,0
1/2/16,20,0
1/2/16,21,0
1/2/16,22,0
1/2/16,23,0
1/3/16,0,0
1/3/16,1,0
1/3/16,2,0
1/3/16,3,0
1/3/16,4,0
1/3/16,5,0
1/3/16,6,0
1/3/16,7,0
1/3/16,8,0
1/3/16,9,0.2
1/3/16,10,0.6
1/3/16,11,1.1
1/3/16,12,2.7
1/3/16,13,3.5
1/3/16,14,2.2
1/3/16,15,1.6
1/3/16,16,0.8
1/3/16,17,0.2
1/3/16,18,0
1/3/16,19,0
1/3/16,20,0
1/3/16,21,0
1/3/16,22,0
1/3/16,23,0
1/4/16,0,0
1/4/16,1,0
1/4/16,2,0
1/4/16,3,0
1/4/16,4,0
1/4/16,5,0
1/4/16,6,0
1/4/16,7,0
1/4/16,8,0.2
1/4/16,9,2.5
1/4/16,10,5.8
1/4/16,11,11
1/4/16,12,13.1
1/4/16,13,12.9
1/4/16,14,13.5
1/4/16,15,9.5
1/4/16,16,4.7
1/4/16,17,1.1
1/4/16,18,0
1/4/16,19,0
1/4/16,20,0
1/4/16,21,0
1/4/16,22,0
1/4/16,23,0
1/5/16,0,0
1/5/16,1,0
1/5/16,2,0
1/5/16,3,0
1/5/16,4,0
1/5/16,5,0
1/5/16,6,0
1/5/16,7,0
1/5/16,8,0.5
1/5/16,9,9.3
1/5/16,10,18
1/5/16,11,26.5
1/5/16,12,31.2
1/5/16,13,31.5
1/5/16,14,27.7
1/5/16,15,19.9
1/5/16,16,9.9
1/5/16,17,0.9
1/5/16,18,0
1/5/16,19,0
1/5/16,20,0
1/5/16,21,0
1/5/16,22,0
1/5/16,23,0
1/6/16,0,0
1/6/16,1,0
1/6/16,2,0
1/6/16,3,0
1/6/16,4,0
1/6/16,5,0
1/6/16,6,0
1/6/16,7,0
1/6/16,8,0.4
1/6/16,9,7.9
1/6/16,10,16.9
1/6/16,11,25.9
1/6/16,12,31.1
1/6/16,13,31.7
1/6/16,14,28.1
1/6/16,15,20.3
1/6/16,16,10.1
1/6/16,17,1.3
1/6/16,18,0
1/6/16,19,0
1/6/16,20,0
1/6/16,21,0
1/6/16,22,0
1/6/16,23,0
1/7/16,0,0
1/7/16,1,0
1/7/16,2,0
1/7/16,3,0
1/7/16,4,0
1/7/16,5,0
1/7/16,6,0
1/7/16,7,0
1/7/16,8,0.4
1/7/16,9,6.1
1/7/16,10,13.7
1/7/16,11,22.8
1/7/16,12,30
1/7/16,13,31.3
1/7/16,14,29.7
1/7/16,15,19.6
1/7/16,16,10
1/7/16,17,1.2
1/7/16,18,0
1/7/16,19,0
1/7/16,20,0
1/7/16,21,0
1/7/16,22,0
1/7/16,23,0
1/8/16,0,0
1/8/16,1,0
1/8/16,2,0
1/8/16,3,0
1/8/16,4,0
1/8/16,5,0
1/8/16,6,0
1/8/16,7,0
1/8/16,8,0.8
1/8/16,9,5.6
1/8/16,10,15.3
1/8/16,11,18.6
1/8/16,12,26.3
1/8/16,13,21.6
1/8/16,14,13.8
1/8/16,15,6
1/8/16,16,3.7
1/8/16,17,0.8
1/8/16,18,0
1/8/16,19,0
1/8/16,20,0
1/8/16,21,0
1/8/16,22,0
1/8/16,23,0
1/9/16,0,0
1/9/16,1,0
1/9/16,2,0
1/9/16,3,0
1/9/16,4,0
1/9/16,5,0
1/9/16,6,0
1/9/16,7,0
1/9/16,8,0
1/9/16,9,1.7
1/9/16,10,7
1/9/16,11,4.8
1/9/16,12,4.1
1/9/16,13,5.8
1/9/16,14,13.4
1/9/16,15,9.3
1/9/16,16,4
1/9/16,17,0.6
1/9/16,18,0
1/9/16,19,0
1/9/16,20,0
1/9/16,21,0
1/9/16,22,0
1/9/16,23,0
1/10/16,0,0
1/10/16,1,0
1/10/16,2,0
1/10/16,3,0
1/10/16,4,0
1/10/16,5,0
1/10/16,6,0
1/10/16,7,0
1/10/16,8,0.1
1/10/16,9,0.8
1/10/16,10,4
1/10/16,11,3.4
1/10/16,12,8.1
1/10/16,13,22.3
1/10/16,14,13.6
1/10/16,15,13.3
1/10/16,16,3.8
1/10/16,17,0.7
1/10/16,18,0
1/10/16,19,0
1/10/16,20,0
1/10/16,21,0
1/10/16,22,0
1/10/16,23,0
1/11/16,0,0
1/11/16,1,0
1/11/16,2,0
1/11/16,3,0
1/11/16,4,0
1/11/16,5,0
1/11/16,6,0
1/11/16,7,0
1/11/16,8,0.1
1/11/16,9,2.7
1/11/16,10,9.6
1/11/16,11,9.6
1/11/16,12,12.7
1/11/16,13,15.9
1/11/16,14,15.4
1/11/16,15,11.8
1/11/16,16,8.2
1/11/16,17,1.8
1/11/16,18,0
1/11/16,19,0
1/11/16,20,0
1/11/16,21,0
1/11/16,22,0
1/11/16,23,0
1/12/16,0,0
1/12/16,1,0
1/12/16,2,0
1/12/16,3,0
1/12/16,4,0
1/12/16,5,0
1/12/16,6,0
1/12/16,7,0
1/12/16,8,0.3
1/12/16,9,5.4
1/12/16,10,16
1/12/16,11,17.9
1/12/16,12,14.3
1/12/16,13,10.5
1/12/16,14,11.2
1/12/16,15,11.6
1/12/16,16,11
1/12/16,17,0.9
1/12/16,18,0
1/12/16,19,0
1/12/16,20,0
1/12/16,21,0
1/12/16,22,0
1/12/16,23,0
1/13/16,0,0
1/13/16,1,0
1/13/16,2,0
1/13/16,3,0
1/13/16,4,0
1/13/16,5,0
1/13/16,6,0
1/13/16,7,0
1/13/16,8,0.4
1/13/16,9,7.2
1/13/16,10,19
1/13/16,11,23
1/13/16,12,15.7
1/13/16,13,19.5
1/13/16,14,16.9
1/13/16,15,10.4
1/13/16,16,5.4
1/13/16,17,1.3
1/13/16,18,0
1/13/16,19,0
1/13/16,20,0
1/13/16,21,0
1/13/16,22,0
1/13/16,23,0
1/14/16,0,0
1/14/16,1,0
1/14/16,2,0
1/14/16,3,0
1/14/16,4,0
1/14/16,5,0
1/14/16,6,0
1/14/16,7,0
1/14/16,8,0.2
1/14/16,9,1.7
1/14/16,10,4.6
1/14/16,11,10.1
1/14/16,12,12.5
1/14/16,13,10.7
1/14/16,14,5.9
1/14/16,15,3.8
1/14/16,16,2.2
1/14/16,17,0.5
1/14/16,18,0
1/14/16,19,0
1/14/16,20,0
1/14/16,21,0
1/14/16,22,0
1/14/16,23,0
1/15/16,0,0
1/15/16,1,0
1/15/16,2,0
1/15/16,3,0
1/15/16,4,0
1/15/16,5,0
1/15/16,6,0
1/15/16,7,0
1/15/16,8,0.4
1/15/16,9,4.7
1/15/16,10,12.4
1/15/16,11,17.5
1/15/16,12,20.4
1/15/16,13,20.1
1/15/16,14,18.2
1/15/16,15,13.5
1/15/16,16,5.7
1/15/16,17,1.2
1/15/16,18,0
1/15/16,19,0
1/15/16,20,0
1/15/16,21,0
1/15/16,22,0
1/15/16,23,0
1/16/16,0,0
1/16/16,1,0
1/16/16,2,0
1/16/16,3,0
1/16/16,4,0
1/16/16,5,0
1/16/16,6,0
1/16/16,7,0
1/16/16,8,0.1
1/16/16,9,2.5
1/16/16,10,5.2
1/16/16,11,9.3
1/16/16,12,6.7
1/16/16,13,10.8
1/16/16,14,8.5
1/16/16,15,5.5
1/16/16,16,2.6
1/16/16,17,0.7
1/16/16,18,0
1/16/16,19,0
1/16/16,20,0
1/16/16,21,0
1/16/16,22,0
1/16/16,23,0
1/17/16,0,0
1/17/16,1,0
1/17/16,2,0
1/17/16,3,0
1/17/16,4,0
1/17/16,5,0
1/17/16,6,0
1/17/16,7,0
1/17/16,8,0.1
1/17/16,9,1.1
1/17/16,10,2.9
1/17/16,11,4.4
1/17/16,12,9.3
1/17/16,13,8.5
1/17/16,14,8
1/17/16,15,5.6
1/17/16,16,4
1/17/16,17,1.3
1/17/16,18,0
1/17/16,19,0
1/17/16,20,0
1/17/16,21,0
1/17/16,22,0
1/17/16,23,0
1/18/16,0,0
1/18/16,1,0
1/18/16,2,0
1/18/16,3,0
1/18/16,4,0
1/18/16,5,0
1/18/16,6,0
1/18/16,7,0
1/18/16,8,0.6
1/18/16,9,7.9
1/18/16,10,17.2
1/18/16,11,25.8
1/18/16,12,30
1/18/16,13,14.8
1/18/16,14,11.9
1/18/16,15,14.9
1/18/16,16,6.9
1/18/16,17,3.4
1/18/16,18,0
1/18/16,19,0
1/18/16,20,0
1/18/16,21,0
1/18/16,22,0
1/18/16,23,0
1/19/16,0,0
1/19/16,1,0
1/19/16,2,0
1/19/16,3,0
1/19/16,4,0
1/19/16,5,0
1/19/16,6,0
1/19/16,7,0
1/19/16,8,0.3
1/19/16,9,3.5
1/19/16,10,6.8
1/19/16,11,12.4
1/19/16,12,19
1/19/16,13,22.4
1/19/16,14,31.2
1/19/16,15,17.6
1/19/16,16,5.3
1/19/16,17,1.4
1/19/16,18,0
1/19/16,19,0
1/19/16,20,0
1/19/16,21,0
1/19/16,22,0
1/19/16,23,0
1/20/16,0,0
1/20/16,1,0
1/20/16,2,0
1/20/16,3,0
1/20/16,4,0
1/20/16,5,0
1/20/16,6,0
1/20/16,7,0
1/20/16,8,0.1
1/20/16,9,2.1
1/20/16,10,7.7
1/20/16,11,11.6
1/20/16,12,17.4
1/20/16,13,10
1/20/16,14,8.6
1/20/16,15,8.3
1/20/16,16,3.9
1/20/16,17,0.8
1/20/16,18,0
1/20/16,19,0
1/20/16,20,0
1/20/16,21,0
1/20/16,22,0
1/20/16,23,0
1/21/16,0,0
1/21/16,1,0
1/21/16,2,0
1/21/16,3,0
1/21/16,4,0
1/21/16,5,0
1/21/16,6,0
1/21/16,7,0
1/21/16,8,0.3
1/21/16,9,4
1/21/16,10,6.1
1/21/16,11,6.4
1/21/16,12,5.7
1/21/16,13,9
1/21/16,14,17.2
1/21/16,15,11.1
1/21/16,16,7
1/21/16,17,1.7
1/21/16,18,0
1/21/16,19,0
1/21/16,20,0
1/21/16,21,0
1/21/16,22,0
1/21/16,23,0
1/22/16,0,0
1/22/16,1,0
1/22/16,2,0
1/22/16,3,0
1/22/16,4,0
1/22/16,5,0
1/22/16,6,0
1/22/16,7,0
1/22/16,8,1.8
1/22/16,9,10.7
1/22/16,10,16.8
1/22/16,11,20.6
1/22/16,12,21.8
1/22/16,13,19.8
1/22/16,14,19.6
1/22/16,15,12.7
1/22/16,16,8.1
1/22/16,17,2.7
1/22/16,18,0.1
1/22/16,19,0
1/22/16,20,0
1/22/16,21,0
1/22/16,22,0
1/22/16,23,0
1/23/16,0,0
1/23/16,1,0
1/23/16,2,0
1/23/16,3,0
1/23/16,4,0
1/23/16,5,0
1/23/16,6,0
1/23/16,7,0
1/23/16,8,0.2
1/23/16,9,2.2
1/23/16,10,7.7
1/23/16,11,14
1/23/16,12,17.8
1/23/16,13,32.8
1/23/16,14,18.7
1/23/16,15,20
1/23/16,16,9.7
1/23/16,17,2.5
1/23/16,18,0.1
1/23/16,19,0
1/23/16,20,0
1/23/16,21,0
1/23/16,22,0
1/23/16,23,0
1/24/16,0,0
1/24/16,1,0
1/24/16,2,0
1/24/16,3,0
1/24/16,4,0
1/24/16,5,0
1/24/16,6,0
1/24/16,7,0
1/24/16,8,0.4
1/24/16,9,3.7
1/24/16,10,8.1
1/24/16,11,14.4
1/24/16,12,18.4
1/24/16,13,18.7
1/24/16,14,22.4
1/24/16,15,20.2
1/24/16,16,9.6
1/24/16,17,3.1
1/24/16,18,0
1/24/16,19,0
1/24/16,20,0
1/24/16,21,0
1/24/16,22,0
1/24/16,23,0
1/25/16,0,0
1/25/16,1,0
1/25/16,2,0
1/25/16,3,0
1/25/16,4,0
1/25/16,5,0
1/25/16,6,0
1/25/16,7,0
1/25/16,8,0.3
1/25/16,9,3.1
1/25/16,10,6.9
1/25/16,11,10.8
1/25/16,12,16.1
1/25/16,13,22.1
1/25/16,14,20.8
1/25/16,15,11.3
1/25/16,16,14
1/25/16,17,5.1
1/25/16,18,0.1
1/25/16,19,0
1/25/16,20,0
1/25/16,21,0
1/25/16,22,0
1/25/16,23,0
1/26/16,0,0
1/26/16,1,0
1/26/16,2,0
1/26/16,3,0
1/26/16,4,0
1/26/16,5,0
1/26/16,6,0
1/26/16,7,0
1/26/16,8,0.5
1/26/16,9,6.2
1/26/16,10,12
1/26/16,11,8.1
1/26/16,12,16.8
1/26/16,13,8
1/26/16,14,25.4
1/26/16,15,27.2
1/26/16,16,13.4
1/26/16,17,0.5
1/26/16,18,0
1/26/16,19,0
1/26/16,20,0
1/26/16,21,0
1/26/16,22,0
1/26/16,23,0
1/27/16,0,0
1/27/16,1,0
1/27/16,2,0
1/27/16,3,0
1/27/16,4,0
1/27/16,5,0
1/27/16,6,0
1/27/16,7,0
1/27/16,8,0.2
1/27/16,9,1.3
1/27/16,10,7.1
1/27/16,11,8.7
1/27/16,12,7.1
1/27/16,13,8.4
1/27/16,14,8.3
1/27/16,15,6.3
1/27/16,16,6.4
1/27/16,17,2.2
1/27/16,18,0
1/27/16,19,0
1/27/16,20,0
1/27/16,21,0
1/27/16,22,0
1/27/16,23,0
1/28/16,0,0
1/28/16,1,0
1/28/16,2,0
1/28/16,3,0
1/28/16,4,0
1/28/16,5,0
1/28/16,6,0
1/28/16,7,0
1/28/16,8,1.8
1/28/16,9,5.7
1/28/16,10,9.2
1/28/16,11,6.9
1/28/16,12,5
1/28/16,13,5.2
1/28/16,14,7.9
1/28/16,15,14.9
1/28/16,16,14.2
1/28/16,17,5.1
1/28/16,18,0.3
1/28/16,19,0
1/28/16,20,0
1/28/16,21,0
1/28/16,22,0
1/28/16,23,0
1/29/16,0,0
1/29/16,1,0
1/29/16,2,0
1/29/16,3,0
1/29/16,4,0
1/29/16,5,0
1/29/16,6,0
1/29/16,7,0
1/29/16,8,0.3
1/29/16,9,3.3
1/29/16,10,5.8
1/29/16,11,11.3
1/29/16,12,8.9
1/29/16,13,11.7
1/29/16,14,4.2
1/29/16,15,4
1/29/16,16,3.1
1/29/16,17,0.9
1/29/16,18,0
1/29/16,19,0
1/29/16,20,0
1/29/16,21,0
1/29/16,22,0
1/29/16,23,0
1/30/16,0,0
1/30/16,1,0
1/30/16,2,0
1/30/16,3,0
1/30/16,4,0
1/30/16,5,0
1/30/16,6,0
1/30/16,7,0
1/30/16,8,1
1/30/16,9,7.1
1/30/16,10,18.5
1/30/16,11,18.4
1/30/16,12,15.1
1/30/16,13,20.1
1/30/16,14,19.8
1/30/16,15,14.1
1/30/16,16,11.8
1/30/16,17,4.7
1/30/16,18,0.2
1/30/16,19,0
1/30/16,20,0
1/30/16,21,0
1/30/16,22,0
1/30/16,23,0
1/31/16,0,0
1/31/16,1,0
1/31/16,2,0
1/31/16,3,0
1/31/16,4,0
1/31/16,5,0
1/31/16,6,0
1/31/16,7,0
1/31/16,8,0.8
1/31/16,9,4.9
1/31/16,10,9.4
1/31/16,11,10.2
1/31/16,12,5.7
1/31/16,13,4
1/31/16,14,8.5
1/31/16,15,26.4
1/31/16,16,11.1
1/31/16,17,4.5
1/31/16,18,0.1
1/31/16,19,0
1/31/16,20,0
1/31/16,21,0
1/31/16,22,0
1/31/16,23,0
2/1/16,0,0
2/1/16,1,0
2/1/16,2,0
2/1/16,3,0
2/1/16,4,0
2/1/16,5,0
2/1/16,6,0
2/1/16,7,0
2/1/16,8,0.1
2/1/16,9,5.3
2/1/16,10,20.7
2/1/16,11,29.7
2/1/16,12,36.8
2/1/16,13,20.1
2/1/16,14,19.4
2/1/16,15,15.6
2/1/16,16,9.1
2/1/16,17,3.3
2/1/16,18,0.2
2/1/16,19,0
2/1/16,20,0
