ELE.POWER,ds
112.5999985,131750
116.3000031,131751
118.0999985,131752
114.9000015,131753
120.4000015,131754
115.0999985,131755
118.9000015,131756
118.1999969,131757
116.5,131758
113.5999985,131759
111.1999969,131760
107.6999969,131761
114.9000015,131762
107.5,131763
114.8000031,131764
115.3000031,131765
110.3000031,131766
115.9000015,131767
110.3000031,131768
110.6999969,131769
111.0999985,131770
110.6999969,131771
108.8000031,131772
110.9000015,131773
104.5,131774
103.5,131775
91.09999847,131776
78.80000305,131777
83.40000153,131778
67.30000305,131779
67.5,131780
60.90000153,131781
59.20000076,131782
56.20000076,131783
58,131784
60.20000076,131785
55.70000076,131786
54,131787
51.90000153,131788
57.5,131789
50.09999847,131790
50.79999924,131791
53.79999924,131792
57.20000076,131793
54.29999924,131794
54.79999924,131795
55.59999847,131796
50.59999847,131797
50.09999847,131798
48.20000076,131799
57.5,131800
50.90000153,131801
54.59999847,131802
53.20000076,131803
55.20000076,131804
53.09999847,131805
51.59999847,131806
51.79999924,131807
50.59999847,131808
53.40000153,131809
50.40000153,131810
54.09999847,131811
47.79999924,131812
52.09999847,131813
50.20000076,131814
54.20000076,131815
51.59999847,131816
52,131817
50.09999847,131818
51.5,131819
49.90000153,131820
53.20000076,131821
56,131822
52.79999924,131823
55,131824
57.90000153,131825
55.70000076,131826
57.40000153,131827
63.5,131828
68,131829
68.40000153,131830
65.90000153,131831
75.09999847,131832
73.5,131833
78.19999695,131834
71.59999847,131835
78.69999695,131836
89.90000153,131837
92.40000153,131838
103.5,131839
103.3000031,131840
104.1999969,131841
99.30000305,131842
114.6999969,131843
108.6999969,131844
111.6999969,131845
111.3000031,131846
113.5999985,131847
114.5,131848
109.0999985,131849
124.5,131850
109.5999985,131851
112.8000031,131852
109.8000031,131853
107.6999969,131854
109.6999969,131855
101.1999969,131856
101.5,131857
109.3000031,131858
105.0999985,131859
108.9000015,131860
105.3000031,131861
110,131862
113.9000015,131863
113.8000031,131864
110.9000015,131865
106.5,131866
104.4000015,131867
108,131868
104.5999985,131869
101.5999985,131870
98.19999695,131871
83.19999695,131872
73.59999847,131873
72.59999847,131874
74.69999695,131875
64.69999695,131876
55.70000076,131877
53.29999924,131878
54.40000153,131879
50.20000076,131880
53.90000153,131881
49.70000076,131882
52.29999924,131883
50.5,131884
48.20000076,131885
50,131886
54.59999847,131887
48.09999847,131888
46.70000076,131889
75.69999695,131890
48.70000076,131891
49,131892
47.59999847,131893
52.90000153,131894
49.79999924,131895
48.59999847,131896
51.90000153,131897
48.5,131898
48.40000153,131899
49.29999924,131900
54,131901
48,131902
46.29999924,131903
49.70000076,131904
49.09999847,131905
46,131906
49.5,131907
49.70000076,131908
49.29999924,131909
48.09999847,131910
50.09999847,131911
48.5,131912
47.20000076,131913
52.40000153,131914
51.79999924,131915
47.20000076,131916
52,131917
51.59999847,131918
46.70000076,131919
47.5,131920
49.40000153,131921
48.40000153,131922
47.20000076,131923
49,131924
50.70000076,131925
49.70000076,131926
50.5,131927
50.79999924,131928
48.79999924,131929
48.29999924,131930
48.5,131931
50.20000076,131932
53,131933
51.70000076,131934
51.09999847,131935
55.79999924,131936
52.90000153,131937
52.20000076,131938
51.20000076,131939
52.40000153,131940
49,131941
49.09999847,131942
55.79999924,131943
52.09999847,131944
51.5,131945
53.09999847,131946
47.29999924,131947
50.40000153,131948
46.29999924,131949
48.59999847,131950
47.90000153,131951
46.90000153,131952
50.90000153,131953
44.40000153,131954
38.5,131955
46.59999847,131956
44.70000076,131957
47,131958
44.29999924,131959
47.70000076,131960
43.59999847,131961
40.20000076,131962
44.20000076,131963
45,131964
44.70000076,131965
41.90000153,131966
42.5,131967
43.90000153,131968
41.79999924,131969
44.09999847,131970
45.09999847,131971
44.70000076,131972
45.40000153,131973
46.70000076,131974
43.20000076,131975
48.40000153,131976
48,131977
48.09999847,131978
49.59999847,131979
49.79999924,131980
50.29999924,131981
48.59999847,131982
47,131983
48.90000153,131984
51.20000076,131985
47.09999847,131986
54.5,131987
50.09999847,131988
49.40000153,131989
46.5,131990
51.5,131991
47.40000153,131992
49,131993
49.40000153,131994
51.70000076,131995
48.09999847,131996
50.59999847,131997
52.20000076,131998
47.90000153,131999
47.5,132000
48.70000076,132001
51.29999924,132002
48.90000153,132003
51.40000153,132004
52.5,132005
48.79999924,132006
50,132007
47.79999924,132008
51.29999924,132009
47.29999924,132010
48.59999847,132011
49.59999847,132012
47.79999924,132013
47.29999924,132014
49.40000153,132015
49.79999924,132016
49.79999924,132017
49.09999847,132018
48.70000076,132019
50.09999847,132020
45.70000076,132021
46.90000153,132022
51.40000153,132023
51.79999924,132024
47.70000076,132025
46.5,132026
53.29999924,132027
46.09999847,132028
49.59999847,132029
49.29999924,132030
43.70000076,132031
43.5,132032
45.40000153,132033
45,132034
48.20000076,132035
45.59999847,132036
48.90000153,132037
45.29999924,132038
44.09999847,132039
47.40000153,132040
45.59999847,132041
46.20000076,132042
47.90000153,132043
54.20000076,132044
48.20000076,132045
48.90000153,132046
44.70000076,132047
42.5,132048
42.5,132049
46.40000153,132050
48,132051
44.20000076,132052
49.90000153,132053
45.5,132054
48.29999924,132055
46,132056
46.70000076,132057
44.20000076,132058
45.90000153,132059
46.79999924,132060
47,132061
45.20000076,132062
45.59999847,132063
48.5,132064
49.09999847,132065
51.5,132066
47.40000153,132067
49.40000153,132068
47.79999924,132069
55.29999924,132070
46.20000076,132071
50.59999847,132072
47.79999924,132073
54,132074
48.09999847,132075
47.59999847,132076
53.20000076,132077
45.90000153,132078
48,132079
46.70000076,132080
53.29999924,132081
48.29999924,132082
49.09999847,132083
51,132084
48.20000076,132085
46.79999924,132086
48.70000076,132087
53.70000076,132088
47.90000153,132089
45.79999924,132090
48.29999924,132091
48.40000153,132092
50.79999924,132093
49.20000076,132094
51.09999847,132095
48.29999924,132096
47.20000076,132097
48.20000076,132098
46,132099
48.59999847,132100
49,132101
53.40000153,132102
46.90000153,132103
47.59999847,132104
46.09999847,132105
47.59999847,132106
46.79999924,132107
48.70000076,132108
52.79999924,132109
48,132110
50.29999924,132111
52.79999924,132112
48.90000153,132113
50.90000153,132114
58.20000076,132115
53.59999847,132116
57.29999924,132117
65.40000153,132118
63.40000153,132119
57.29999924,132120
59.29999924,132121
75.90000153,132122
80.30000305,132123
94,132124
97.69999695,132125
101.1999969,132126
100.5999985,132127
109.3000031,132128
113.5,132129
113,132130
120.8000031,132131
112.0999985,132132
112.5,132133
114,132134
118.5999985,132135
115.4000015,132136
116.1999969,132137
120.1999969,132138
111.6999969,132139
106.6999969,132140
112.5,132141
123.3000031,132142
120.9000015,132143
109.5999985,132144
116.5999985,132145
124.5999985,132146
116.5,132147
114.5999985,132148
118.8000031,132149
119.0999985,132150
118.5,132151
116.5999985,132152
116.4000015,132153
122.5999985,132154
116.6999969,132155
116.6999969,132156
115.3000031,132157
115,132158
110,132159
99.59999847,132160
90.69999695,132161
81.09999847,132162
72.90000153,132163
74.90000153,132164
63.79999924,132165
62.5,132166
60.29999924,132167
60.79999924,132168
58.70000076,132169
59.70000076,132170
57.79999924,132171
56.90000153,132172
57.79999924,132173
60.79999924,132174
53.5,132175
54,132176
54,132177
52.5,132178
53,132179
52.59999847,132180
51.09999847,132181
54.5,132182
52.79999924,132183
54.29999924,132184
51.40000153,132185
52.5,132186
50.29999924,132187
49.5,132188
50.59999847,132189
51.79999924,132190
50.20000076,132191
49.5,132192
49.70000076,132193
53.09999847,132194
47.59999847,132195
52.29999924,132196
48,132197
56.20000076,132198
50.90000153,132199
50,132200
50,132201
48.40000153,132202
49.40000153,132203
48.90000153,132204
49,132205
50.59999847,132206
50.70000076,132207
56.79999924,132208
57,132209
59.20000076,132210
54.70000076,132211
68.80000305,132212
62.09999847,132213
64.30000305,132214
67.5,132215
65.09999847,132216
66.09999847,132217
67.80000305,132218
75.80000305,132219
89.40000153,132220
106.0999985,132221
112.3000031,132222
108.3000031,132223
111.0999985,132224
112.3000031,132225
105.3000031,132226
120.5,132227
118.1999969,132228
118.1999969,132229
110.0999985,132230
112.5999985,132231
108.6999969,132232
113.4000015,132233
113.1999969,132234
109.0999985,132235
116,132236
108.1999969,132237
108.6999969,132238
101.4000015,132239
105.5,132240
107,132241
110.6999969,132242
118.0999985,132243
111.1999969,132244
113.5,132245
118.0999985,132246
115.6999969,132247
111.4000015,132248
114.1999969,132249
111.3000031,132250
112.9000015,132251
109.0999985,132252
113.0999985,132253
106.3000031,132254
104.4000015,132255
93.19999695,132256
80.90000153,132257
80.69999695,132258
70.5,132259
66.30000305,132260
62.70000076,132261
64.5,132262
64,132263
62.20000076,132264
58.20000076,132265
56.59999847,132266
59.79999924,132267
56.40000153,132268
57.09999847,132269
56.70000076,132270
57.79999924,132271
57.5,132272
54.70000076,132273
50.29999924,132274
50.09999847,132275
51.40000153,132276
56.90000153,132277
51.40000153,132278
52.59999847,132279
52.90000153,132280
54.09999847,132281
49,132282
51,132283
52.5,132284
52.90000153,132285
54.70000076,132286
51.09999847,132287
50.5,132288
50.09999847,132289
56.70000076,132290
53.5,132291
50.90000153,132292
51.5,132293
58.90000153,132294
54.29999924,132295
51,132296
52.20000076,132297
55.5,132298
51.79999924,132299
51.29999924,132300
51,132301
54.59999847,132302
51.09999847,132303
51.59999847,132304
51.70000076,132305
54,132306
60,132307
56.90000153,132308
61.40000153,132309
64.59999847,132310
75.80000305,132311
62.59999847,132312
62.90000153,132313
73.59999847,132314
78.19999695,132315
104,132316
93.69999695,132317
99.09999847,132318
106.4000015,132319
104.6999969,132320
105.9000015,132321
108.5,132322
115.1999969,132323
112.9000015,132324
115.5,132325
119.6999969,132326
110.1999969,132327
114,132328
121.3000031,132329
129.8999939,132330
122.0999985,132331
126.5,132332
118.0999985,132333
121,132334
110.5999985,132335
111.4000015,132336
115.3000031,132337
115.4000015,132338
124.9000015,132339
115,132340
118.1999969,132341
122.1999969,132342
117.9000015,132343
122.4000015,132344
115.6999969,132345
126,132346
114.5,132347
111.4000015,132348
113.4000015,132349
110.5999985,132350
106.0999985,132351
96.09999847,132352
88.5,132353
84.30000305,132354
76.69999695,132355
72.40000153,132356
61.29999924,132357
57.79999924,132358
59.79999924,132359
62.59999847,132360
61.29999924,132361
59.70000076,132362
56.5,132363
55.20000076,132364
57.70000076,132365
53.5,132366
54.29999924,132367
53.90000153,132368
54.09999847,132369
52.70000076,132370
52.09999847,132371
50,132372
50.5,132373
55.40000153,132374
51.70000076,132375
50.79999924,132376
50.5,132377
57.40000153,132378
50.90000153,132379
51.70000076,132380
51.5,132381
55.09999847,132382
54,132383
54.59999847,132384
52.70000076,132385
55.59999847,132386
49.79999924,132387
50.70000076,132388
53.09999847,132389
57.70000076,132390
52.59999847,132391
54.40000153,132392
52.70000076,132393
55.40000153,132394
51.40000153,132395
51.40000153,132396
54,132397
56.70000076,132398
56.20000076,132399
56.79999924,132400
59.29999924,132401
63.20000076,132402
59.29999924,132403
66.40000153,132404
65.30000305,132405
76.59999847,132406
65.90000153,132407
67.40000153,132408
65.59999847,132409
72.5,132410
