"","DayHall.CW.FP/TONS","DayHall.Elec.PowerScout3/kWsystem","DayHall.Elec.Solar.PowerScout3037/kW_System","DayHall.STM.M22-V/AverageMassFlow","OAT","ENTHALPY"
"01-Jan-2013 00:00:00",13.8304872513,43.8927078247,"nodata","nodata",22.04296875,7.48141622543
"02-Jan-2013 00:00:00",16.9541740417,78.6374969482,"nodata","nodata",16.2971191406,5.67156457901
"03-Jan-2013 00:00:00",18.9446105957,79.3463134766,"nodata","nodata",20.6642246246,7.04573249817
"04-Jan-2013 00:00:00",21.0453891754,74.4614562988,"nodata","nodata",28.9990234375,9.28918361664
"05-Jan-2013 00:00:00",17.8951473236,49.2958335876,"nodata","nodata",29.2646484375,9.50314426422
"06-Jan-2013 00:00:00",18.2963275909,48.4916648865,"nodata","nodata",31.8995761871,10.5680704117
"07-Jan-2013 00:00:00",22.2840766907,78.7562484741,"nodata","nodata",27.5791015625,9.35791301727
"08-Jan-2013 00:00:00",22.0706310272,79.3239593506,"nodata","nodata",29.2771816254,9.52762413025
"09-Jan-2013 00:00:00",22.5787067413,77.0604171753,"nodata","nodata",33.3291015625,10.7928647995
"10-Jan-2013 00:00:00",23.7343158722,78.1510391235,"nodata","nodata",33.5834960938,10.9282522202
"11-Jan-2013 00:00:00",20.2743530273,55.0229530334,"nodata","nodata",33.7979164124,11.5210447311
"12-Jan-2013 00:00:00",19.8744678497,47.1302070618,"nodata","nodata",41.8391914368,15.2971687317
"13-Jan-2013 00:00:00",20.2410316467,46.5379295349,"nodata","nodata",47.4723854065,17.5846576691
"14-Jan-2013 00:00:00",25.6961898804,77.5989608765,"nodata","nodata",37.6616210938,12.9269447327
"15-Jan-2013 00:00:00",24.2104911804,79.5166702271,"nodata","nodata",27.7556972504,9.00807380676
"16-Jan-2013 00:00:00",23.2075805664,80.0531234741,"nodata","nodata",28.7491855621,9.91461181641
"17-Jan-2013 00:00:00",21.7891197205,78.1849441528,"nodata","nodata",24.7631835938,8.37361431122
"18-Jan-2013 00:00:00",20.5428142548,77.109375,"nodata","nodata",18.0197753906,5.89378166199
"19-Jan-2013 00:00:00",18.1791801453,50.9083328247,"nodata","nodata",37.6000976562,11.0170040131
"20-Jan-2013 00:00:00",17.7840557098,49.0354156494,"nodata","nodata",31.2132167816,9.58967494965
"21-Jan-2013 00:00:00",19.8565826416,76.9979171753,"nodata","nodata",18.5608730316,6.23097848892
"22-Jan-2013 00:00:00",18.4948787689,82.5489578247,"nodata","nodata",8.08030223846,2.90065717697
"23-Jan-2013 00:00:00",17.087978363,80.5406265259,"nodata","nodata",4.7027130127,2.14387154579
"24-Jan-2013 00:00:00",17.020357132,82.1510391235,"nodata","nodata",4.95994567871,2.29121494293
"25-Jan-2013 00:00:00",16.3936061859,79.4614562988,"nodata","nodata",10.310546875,3.87009644508
