Date, MaxTemperature, MinTemperature, AvgTemperature, Precipitation, Snowfall, SnowDepth,CW.FP.TONS,ELE.POWER,OAT
1/1/09,23,7,15,0.07,1.9,4,11.03954029,nodata,11.19571972
1/2/09,26,8,17, T,0.5,4,10.95545959,nodata,25.00170898
1/3/09,32,8,20, T,0.6,4,10.98923111,nodata,23.75472069
1/4/09,28,1,14.5,0,0,4,10.82321644,nodata,20.73579979
1/5/09,38,3,20.5,0,0,1,18.75741386,nodata,29.82682228
1/6/09,36,6,21,0,0,1,19.5094986,nodata,19.55973244
1/7/09,33,6,19.5,0.13, T,2,20.18320084,nodata,32.08024216
1/8/09,38,28,33,0.13,1.3,3,20.34831047,nodata,25.36702538
1/9/09,28,19,23.5,0,0,3,19.37688828,nodata,19.08463478
1/10/09,22,4,13,0,0,3,14.8994112,nodata,14.64339161
1/11/09,20,7,13.5,0.28,3.7,6,14.53594303,nodata,15.35746288
1/12/09,21,1,11,0.01,0.1,5,17.74617958,nodata,15.82218456
1/13/09,26,8,17,0,0,5,19.14294052,nodata,25.07641602
1/14/09,33,6,19.5,0.01,0.4,6,18.32089806,nodata,8.311035156
1/15/09,13,0,6.5,0.02,0.6,7,16.89871407,nodata,6.36662817
1/16/09,12,-13,-0.5, T, T,7,16.48217201,nodata,3.169174194
1/17/09,8,-11,-1.5,0,0,7,11.52245426,nodata,5.242782593
1/18/09,16,-9,3.5,0.06,1.2,8,11.33693123,nodata,18.51920509
1/19/09,24,16,20,0.02,2,10,16.3197403,nodata,17.47412109
1/20/09,24,-10,7,0,0, M,16.56402779,nodata,8.771290779
1/21/09,18,-1,8.5,0.03, M, M,17.08867073,nodata,12.97257519
1/22/09,22,0,11,0,0,11,18.75257301,nodata,21.38631248
1/23/09,30,11,20.5,0,0,10,19.71795273,nodata,31.283041
1/24/09,43,15,29, T, T,8,14.55963898,nodata,14.22089672
1/25/09,15,-3,6,0,0,7,13.72226906,nodata,9.280715942
1/26/09,19,-3,8,0,0,7,17.69118118,nodata,10.630229
1/27/09,23,2,12.5,0,0,7,18.78963089,nodata,16.30115509
1/28/09,25,4,14.5,0.19,1.8,9,18.96140099,nodata,23.22345352
1/29/09,33,16,24.5,0.2,4,13,18.90833092,nodata,21.75683594
1/30/09,28,16,22,0,0,12,18.68113136,nodata,23.71704102
1/31/09,31,11,21,0,0,11,14.8565197,nodata,15.36206055
2/1/09,25,12,18.5,0.02,0.2,10,15.81671333,nodata,32.51367188
2/2/09,45,25,35,0,0,9,19.11093903,nodata,31.08536148
2/3/09,34,8,21,0,0,9,19.80732155,nodata,18.93207169
2/4/09,30,3,16.5,0,0,8,19.44288254,nodata,9.589233398
2/5/09,14,4,9,0.04,1.5,10,19.0709877,nodata,7.754765987
2/6/09,12,-4,4,0,0,10,18.75813675,nodata,17.12026024
2/7/09,33,12,22.5,0,0,9,16.60808182,nodata,35.09586716
2/8/09,51,28,39.5,0,0,6,16.8901825,nodata,36.30875778
2/9/09,41,16,28.5,0,0,4,22.0400238,nodata,27.70231056
2/10/09,42,20,31,0,0,2,22.8497448,nodata,40.76464844
2/11/09,49,37,43,0,0,0,26.52534294,nodata,45.04915237
2/12/09,55,37,46,0.12,0,0,25.79931641,nodata,37.90055466
2/13/09,40,24,32,0.15,0.2, T,23.98138809,nodata,24.68912697
2/14/09,29,16,22.5,0,0,0,18.52501488,nodata,22.26725197
2/15/09,29,20,24.5,0,0,0,17.53252411,nodata,24.5997715
2/16/09,31,22,26.5,0,0,0,19.72643662,nodata,22.99391365
2/17/09,30,8,19,0,0,0,20.23782539,nodata,21.36710548
2/18/09,36,11,23.5,0,0,0,20.69752121,nodata,29.61702538
2/19/09,38,29,33.5,0.11,0.4,1,21.19431305,nodata,28.24202538
2/20/09,36,15,25.5,0.01, T, T,18.45741272,nodata,19.76196861
2/21/09,24,15,19.5,0,0, T,15.9211235,nodata,26.55240822
