date,solar_gen,irradiance
7/21/16 0:00,0.300000012,0
7/21/16 1:00,0.300000012,0
7/21/16 2:00,0.300000012,0
7/21/16 3:00,0.300000012,0
7/21/16 4:00,0.300000012,0
7/21/16 5:00,0.325000018,0.1
7/21/16 6:00,1.225000024,4.2
7/21/16 7:00,17.39999962,15.9
7/21/16 8:00,26.20000076,30.5
7/21/16 9:00,8.975000381,43.7
7/21/16 10:00,6.324999809,55.3
7/21/16 11:00,5.350000381,64.5
7/21/16 12:00,4.550000191,71.8
7/21/16 13:00,4.375,73.1
7/21/16 14:00,4.824999809,68.4
7/21/16 15:00,6.074999809,58.5
7/21/16 16:00,8.199999809,46.9
7/21/16 17:00,23.125,27.6
7/21/16 18:00,29.75,12.5
7/21/16 19:00,11.15000057,5
7/21/16 20:00,1.049999952,0.6
7/21/16 21:00,0.300000012,0
7/21/16 22:00,0.300000012,0
7/21/16 23:00,0.300000012,0
7/22/16 0:00,0.300000012,0
7/22/16 1:00,0.300000012,0
7/22/16 2:00,0.300000012,0
7/22/16 3:00,0.300000012,0
7/22/16 4:00,0.300000012,0
7/22/16 5:00,0.325000018,0.1
7/22/16 6:00,4.224999905,5
7/22/16 7:00,26.02500153,11.5
7/22/16 8:00,25.39999962,17.1
7/22/16 9:00,31.79999924,28.2
7/22/16 10:00,21.25,13.5
7/22/16 11:00,25.20000076,21.6
7/22/16 12:00,33.97500229,35.3
7/22/16 13:00,46.25,38.7
7/22/16 14:00,23.32500076,45.6
7/22/16 15:00,4.925000191,56.7
7/22/16 16:00,8.550000191,46.3
7/22/16 17:00,17.54999924,23.2
7/22/16 18:00,36.52500153,23.1
7/22/16 19:00,9.125,8.2
7/22/16 20:00,0.574999988,0.5
7/22/16 21:00,0.300000012,0
7/22/16 22:00,0.300000012,0
7/22/16 23:00,0.300000012,0
7/23/16 0:00,0.300000012,0
7/23/16 1:00,0.300000012,0
7/23/16 2:00,0.300000012,0
7/23/16 3:00,0.300000012,0
7/23/16 4:00,0.300000012,0
7/23/16 5:00,0.325000018,0
7/23/16 6:00,0.850000024,3.7
7/23/16 7:00,21.27499962,15.3
7/23/16 8:00,31.875,30
7/23/16 9:00,9.75,44.3
7/23/16 10:00,6.449999809,56.8
7/23/16 11:00,5.224999905,65.9
7/23/16 12:00,4.800000191,63.9
7/23/16 13:00,23.125,62.4
7/23/16 14:00,11.42500019,58.3
7/23/16 15:00,12.64999962,57.1
7/23/16 16:00,7.125,44.3
7/23/16 17:00,15.55000019,34.2
7/23/16 18:00,32.25,20.6
7/23/16 19:00,8.425000191,7.7
7/23/16 20:00,0.625,0.4
7/23/16 21:00,0.300000012,0
7/23/16 22:00,0.300000012,0
7/23/16 23:00,0.300000012,0
7/24/16 0:00,0.300000012,0
7/24/16 1:00,0.300000012,0
7/24/16 2:00,0.300000012,0
7/24/16 3:00,0.300000012,0
7/24/16 4:00,0.300000012,0
7/24/16 5:00,0.325000018,0.1
7/24/16 6:00,3.125,4.1
7/24/16 7:00,17.75,12.5
7/24/16 8:00,30.82500076,27.2
7/24/16 9:00,9.899999619,42.8
7/24/16 10:00,7.449999809,56.6
7/24/16 11:00,5,64.5
7/24/16 12:00,6.875,66.2
7/24/16 13:00,5.050000191,73.3
7/24/16 14:00,8.625,54.4
7/24/16 15:00,21.04999924,38.1
7/24/16 16:00,34.92499924,39
7/24/16 17:00,39.42499924,25.2
7/24/16 18:00,28.10000038,14.8
7/24/16 19:00,7.474999905,4.1
7/24/16 20:00,0.400000006,0.4
7/24/16 21:00,0.300000012,0
7/24/16 22:00,0.300000012,0
7/24/16 23:00,0.300000012,0
7/25/16 0:00,0.300000012,0
