,DuffieldHall.CW.FP/TONS,DuffieldHall.STM.M22-V/AverageMassFlow
11/21/11 18:30,105.6520004,4746.61377
11/22/11 1:00,111.362999,5346.870117
11/22/11 4:00,109.7890015,5915.110352
11/22/11 5:00,113.1179962,6218.200195
11/22/11 5:15,126.8420029,6378.265625
11/22/11 7:15,103.4260025,6189.830566
11/22/11 7:30,108.5920029,5957.018066
11/22/11 8:15,114.1009979,5896.117676
11/22/11 16:15,127.6579971,4716.10791
11/22/11 16:30,122.7139969,4760.267578
11/22/11 17:00,115.3389969,4821.117676
11/22/11 17:45,107.1689987,4555.941406
11/22/11 18:00,109.197998,4634.71582
11/22/11 18:30,104.2289963,4820.588379
11/22/11 21:00,117.9970016,3842.445313
11/22/11 23:45,115.7600021,3102.045654
11/23/11 1:45,109.9499969,2645.648926
11/23/11 2:30,103.4029999,2364.241943
11/23/11 7:15,116.7369995,2777.981445
11/23/11 7:30,118.1869965,3001.297607
11/23/11 9:30,106.9710007,4037.842285
11/23/11 10:45,117.4560013,4610.026855
11/23/11 11:30,106.4599991,4290.699219
11/23/11 12:00,111.4400024,4048.942627
11/23/11 14:15,105.7149963,4658.641602
11/23/11 15:15,106.598999,4885.973633
11/23/11 17:30,113.8769989,4942.942871
11/23/11 19:00,107.2249985,4572.348145
11/23/11 20:30,104.2870026,4753.197754
11/23/11 21:00,103.1800003,5096.052734
11/23/11 23:45,108.788002,3937.521973
11/24/11 3:45,109.9169998,4651.310059
11/24/11 5:00,113.6520004,5360.930664
11/24/11 5:15,110.3030014,5629.169434
11/24/11 6:30,114.5039978,5758.275879
11/24/11 8:45,112.7590027,5367.746094
11/24/11 9:45,106.2519989,4409.041016
11/24/11 10:30,110.3270035,3841.213379
11/24/11 12:30,109.9909973,2619.295654
11/24/11 14:30,102.0680008,2161.294678
11/24/11 15:45,103.8000031,1903.858521
11/24/11 16:15,111.3180008,2251.586182
11/24/11 18:00,103.8410034,2645.987793
11/24/11 18:15,108.4649963,2746.824951
11/24/11 20:45,102.4469986,3491.747559
11/25/11 1:15,113.1259995,3435.142578
11/25/11 1:30,111.4400024,3447.882324
11/25/11 2:30,105.5670013,3287.51123
11/25/11 3:30,107.7310028,3483.955566
11/25/11 7:00,111.9440002,4443.089844
11/25/11 9:00,109.3570023,3990.733887
11/25/11 13:45,143.177002,1582.07251
11/25/11 17:00,110.3769989,1674.960693
11/25/11 19:30,100.7399979,1965.911743
11/26/11 1:00,102.2839966,1894.809326
11/26/11 2:15,98.65540314,2230.9729
11/26/11 9:00,111.2590027,3023.50293
11/26/11 11:00,112.7310028,1980.631714
11/26/11 12:00,113.2519989,1852.591797
11/26/11 12:30,146.3820038,1838.995605
11/26/11 18:15,105.935997,1911.723755
11/26/11 18:45,101.9680023,2245.682129
11/26/11 19:45,91.26959991,2622.561035
11/26/11 23:00,105.8580017,2956.520264
11/26/11 23:15,105.1320038,2758.503662
11/27/11 3:15,107.5719986,1904.914307
11/27/11 4:15,114.552002,2207.220459
11/27/11 5:15,101.0449982,2715.691895
11/27/11 9:00,106.1090012,2634.420166
11/27/11 14:15,121.2720032,1265.662231
11/27/11 20:15,125.5749969,1254.070679
11/28/11 9:00,107.9749985,2767.384521
11/28/11 11:30,111.2450027,3408.545898
11/28/11 15:45,120.7630005,2678.562012
11/28/11 16:45,120.0179977,2908.129883
11/28/11 18:00,114.4219971,2291.804932
11/28/11 22:30,118.2160034,2665.235596
11/28/11 23:45,109.0189972,2651.261475
11/29/11 0:15,116.5810013,2604.552246
11/29/11 3:15,137.3099976,2230.900146
11/29/11 6:45,184.1809998,2239.280518
11/29/11 22:45,129.75,2633.989746
11/30/11 0:15,101.3659973,923.6167603
11/30/11 1:30,108.1399994,1589.761353
11/30/11 2:15,104.2180023,1880.157593
11/30/11 4:45,118.4260025,3102.880859
11/30/11 6:00,107.8779984,4651.058105
11/30/11 6:45,104.0940018,4099.424805
11/30/11 7:15,111.7030029,4323.169922
11/30/11 8:45,116.3499985,3928.3396
11/30/11 10:00,104.2679977,3976.511719
11/30/11 10:45,107.4599991,3850.424805
11/30/11 11:30,109.112999,3749.82373
11/30/11 13:15,111.0510025,3381.752441
11/30/11 15:30,101.2129974,3768.891602
11/30/11 16:45,106.6019974,4352.289551
11/30/11 18:45,106.7030029,4621.627441
11/30/11 20:30,106.6019974,5167.114746
11/30/11 20:45,106.4499969,5105.298828
12/1/11 3:15,100.7679977,4617.60791
12/1/11 4:30,105.1460037,5012.996094
12/1/11 5:45,110.8089981,5591.649902
12/1/11 8:00,112.9940033,5156.080078
12/1/11 9:15,119.7860031,4567.850098
12/1/11 9:45,109.0179977,4633.240723
12/1/11 12:15,113.7259979,3765.683105
12/1/11 13:15,112.1139984,2950.079102
12/1/11 13:45,112.5930023,2842.643799
12/1/11 14:15,110.9769974,2732.716797
12/1/11 16:15,120.439003,3010.723877
12/1/11 16:30,115.1449966,3194.381836
12/1/11 17:30,110.026001,3464.778564
12/1/11 18:15,100.5009995,3721.804688
12/2/11 0:45,105.9509964,4526.242676
12/2/11 1:45,113.6029968,4544.387695
12/2/11 3:00,109.4260025,4868.692383
12/2/11 5:30,114.3470001,5564.608398
12/2/11 7:00,108.875,5610.036621
12/2/11 7:15,111.6620026,5793.063477
12/2/11 7:45,109.1389999,5638.160645
12/2/11 8:15,111.0680008,5498.146484
12/2/11 8:30,114.302002,5215.007324
12/2/11 11:15,107.8529968,4593.719727
12/2/11 13:15,113.9430008,3838.970703
12/2/11 13:45,110.8270035,4084.087891
12/2/11 14:15,112.4990005,3743.662842
12/2/11 17:00,113.2659988,3760.910889
12/2/11 19:45,107.5309982,4601.745605
12/2/11 22:15,111.1760025,4871.668457
12/2/11 22:30,107.4530029,4969.55127
12/3/11 0:45,109.0889969,4775.644531
12/3/11 1:00,112.6999969,4419.657715
12/3/11 3:30,111.8249969,5483.215332
12/3/11 4:00,110.3219986,5492.244141
12/3/11 6:00,104.6269989,6496.432617
12/3/11 7:30,108.1029968,6552.797852
12/3/11 7:45,111.7419968,6756.062988
12/3/11 9:30,119.5950012,6033.65625
12/3/11 9:45,110.7839966,5600.89502
12/3/11 10:45,114.0459976,4612.386719
12/3/11 11:15,100.0110016,4544.365234
12/3/11 12:00,110.7539978,4513.638672
12/3/11 13:15,116.0299988,3350.82251
12/3/11 16:30,103.4670029,3789.82373
12/3/11 19:15,110.776001,4124.597168
12/3/11 21:30,110.5139999,4362.107422
12/3/11 23:30,118.3219986,4339.820313
12/4/11 1:00,101.0449982,3774.066895
12/4/11 1:45,102.4039993,3704.260254
12/4/11 4:30,109.987999,3967.693359
12/4/11 4:45,102.7080002,4202.221191
12/4/11 6:45,114.3379974,4600.598145
12/4/11 13:15,117.7340012,2211.751709
12/4/11 14:00,104.512001,2141.264648
12/4/11 14:45,115.3509979,1889.771973
12/4/11 15:45,102.4169998,2212.998779
12/4/11 17:45,104.5370026,2656.552246
12/4/11 18:15,110.2170029,2603.671387
12/4/11 23:00,110.0100021,2975.903564
12/4/11 23:45,109.2679977,2233.859375
12/5/11 0:30,99.90270233,1949.87085
12/5/11 7:00,112.5630035,2921.662354
12/5/11 8:45,121.6169968,2924.48291
12/5/11 11:30,116.5879974,2541.635254
12/5/11 12:00,100.2979965,2421.282959
12/5/11 13:00,106.1699982,1880.398315
12/5/11 15:45,113.2170029,1540.256226
12/5/11 18:30,116.7269974,1883.900391
12/5/11 21:15,111.4400024,1822.90979
12/6/11 1:15,125.9400024,2256.634766
12/6/11 3:15,102.5169983,2551.221436
12/6/11 8:00,113.7009964,3519.854736
12/6/11 8:45,105.4380035,3293.385498
12/6/11 9:45,121.1409988,3729.45874
12/6/11 12:15,107.8740005,3524.491943
12/6/11 14:30,106.4980011,3664.564697
12/6/11 20:45,105.1429977,4070.495361
12/6/11 22:00,103.1959991,4062.087891
12/7/11 1:45,101.3560028,3359.79541
12/7/11 18:00,116.625,4294.980957
12/7/11 19:15,101.7249985,4685.68457
12/7/11 21:45,110.0579987,5222.585938
12/8/11 1:00,100.5339966,4175.812988
12/8/11 2:15,100.1490021,4332.51709
12/8/11 3:45,101.8249969,4963.570801
12/8/11 4:15,102.7829971,4987.870605
12/8/11 5:00,107.4349976,5369.883301
12/8/11 5:15,110.3649979,5647.255859
12/8/11 6:00,100.0169983,5802.31543
12/8/11 6:45,105.6460037,5547.86084
12/8/11 9:30,117.2919998,5401.150391
12/8/11 16:15,103.0690002,4136.092773
12/8/11 17:00,108.7429962,4406.560547
12/8/11 18:15,109.3160019,5037.242188
12/8/11 18:45,108.9570007,4869.448242
12/8/11 20:00,111.362999,5389.580078
12/8/11 20:15,115.3059998,5405.155762
12/8/11 22:00,116.3099976,4968.87207
12/8/11 23:00,107.2819977,5471.512207
12/9/11 3:45,100.2590027,4501.904785
12/9/11 4:30,115.5289993,5368.027832
12/9/11 7:15,104.6999969,5416.768555
12/9/11 7:30,100.3529968,5462.198242
12/9/11 7:45,105.0940018,5764.194336
12/9/11 10:15,108.4580002,4979.111816
12/9/11 12:15,119.1839981,4450.841797
12/9/11 12:30,107.038002,4408.801758
12/9/11 13:15,107.1549988,4450.683105
12/9/11 15:15,113.2519989,4577.774414
12/9/11 15:30,114.6569977,4480.756836
12/9/11 16:15,116.8529968,4143.06543
12/9/11 19:45,104.8349991,4531.731934
12/10/11 2:45,103.6350021,4122.40918
12/10/11 4:45,107.7350006,5437.17334
12/10/11 5:15,108.5920029,5999.104492
12/10/11 5:45,103.6930008,6238.191406
12/10/11 7:15,100.0899963,6369.244629
12/10/11 9:15,102.6210022,6036.828613
12/10/11 9:30,100.8410034,6032.431641
12/10/11 10:15,109.4059982,6304.808594
12/10/11 13:15,105.6330032,5215.95459
12/10/11 14:15,90.01920319,5546.775879
12/10/11 15:45,107.0510025,5447.403809
12/10/11 16:30,104.5849991,5730.506836
12/10/11 17:00,100.7890015,5946.464355
12/10/11 17:30,110.8270035,6040.121094
12/10/11 21:15,105.4889984,6583.871094
12/11/11 0:00,106.8600006,5449.496582
12/11/11 3:00,115.8639984,5714.128906
12/11/11 4:00,106.0899963,6479.774902
12/11/11 5:00,103.4509964,6953.306641
12/11/11 8:45,107.8320007,6759.192871
12/11/11 9:00,106.5749969,6835.244629
12/11/11 9:30,111.4540024,6550.482422
12/11/11 12:30,110.4300003,5213.819824
12/11/11 14:00,114.7320023,4321.399902
12/11/11 16:15,106.3420029,4595.580566
12/11/11 18:30,114.5009995,5426.324219
12/11/11 23:00,107.211998,5613.857422
12/12/11 3:15,109.0599976,5328.160156
12/12/11 3:30,113.6230011,5420.842773
12/12/11 4:45,107.4670029,5901.697754
12/12/11 5:00,105.0940018,6077.51709
12/12/11 5:45,101.5569992,6113.848633
12/12/11 6:30,103.5299988,6524.955078
12/12/11 8:15,109.487999,6122.197266
12/12/11 10:15,111.4649963,5587.157227
12/12/11 11:00,115.1610031,5040.927246
12/12/11 15:00,110.4869995,3668.263672
12/12/11 16:15,107.8740005,3995.481934
12/12/11 17:45,105.0920029,4509.088867
12/12/11 18:15,109.1669998,4942.660156
12/12/11 18:30,115.185997,5237.897461
12/12/11 19:00,103.2289963,5068.084961
12/12/11 19:15,102.1029968,5483.533691
12/12/11 20:15,115.6119995,5482.133301
12/12/11 20:45,106.9589996,5833.356934
12/12/11 23:15,104.9820023,5955.020996
12/13/11 0:15,113.4489975,5417.719727
12/13/11 0:30,110.0849991,5451.432129
12/13/11 1:15,106.5999985,5645.016602
12/13/11 2:45,115.9970016,5969.168457
12/13/11 3:15,103.5019989,5975.936035
12/13/11 5:30,113.8799973,7086.512695
12/13/11 6:30,104.5849991,6929.977051
12/13/11 7:00,121.0619965,7013.67334
12/13/11 8:45,106.4599991,6992.165527
12/13/11 11:30,113.3130035,4647.640137
12/13/11 11:45,116.7890015,4548.796387
12/13/11 12:30,115.1279984,4050.621094
12/13/11 13:00,118.1439972,4055.615723
12/13/11 13:45,116.8809967,3796.016113
12/13/11 14:00,109.6279984,3700.892334
12/13/11 15:00,110.0579987,3692.64917
12/13/11 15:30,109.0889969,3760.241211
12/13/11 16:00,127.8050003,3309.773438
12/13/11 18:00,101.6579971,4431.112793
12/13/11 22:15,109.9290009,5013.818848
12/14/11 1:15,119.4929962,4138.125488
12/14/11 3:15,105.7519989,4211.150391
12/14/11 3:30,110.9769974,4475.12793
12/14/11 4:00,114.9150009,4474.92041
12/14/11 5:15,125.6790009,5238.827148
12/14/11 6:30,112.1920013,4952.432617
12/14/11 8:00,119.7679977,5040.025391
12/14/11 8:30,103.3320007,4560.347168
12/14/11 9:30,122.9059982,4482.358398
12/14/11 12:00,114.2870026,3010.717529
12/14/11 17:15,109.0599976,3326.4375
12/14/11 18:30,112.560997,3608.589111
12/14/11 19:00,113.1719971,3603.652832
12/14/11 21:00,105.625,3722.242188
12/14/11 23:45,111.3889999,3264.835938
12/15/11 3:30,115.913002,2824.463867
12/15/11 4:45,109.0889969,3283.514404
12/15/11 8:45,106.4599991,3376.075928
12/15/11 12:15,110.2429962,2980.913086
12/15/11 16:00,117.7770004,2234.045898
12/15/11 16:15,117.1389999,2214.201172
12/15/11 16:30,113.5279999,1860.750244
12/15/11 21:00,113.5770035,2922.836426
12/15/11 23:30,103.8040009,1870.704346
12/16/11 0:15,120.586998,1939.210327
