ds,MASS.FLOW
11/21/11 14:45,4192.270508
11/21/11 15:00,4280.937012
11/21/11 15:15,4291.609863
11/21/11 15:30,4132.648926
11/21/11 15:45,4094.903809
11/21/11 16:00,4034.962402
11/21/11 16:15,4117.514648
11/21/11 16:30,4502.424316
11/21/11 16:45,4525.65625
11/21/11 17:00,4627.313965
11/21/11 17:15,4750.80957
11/21/11 17:30,4718.067383
11/21/11 17:45,4813.90918
11/21/11 18:00,4906.495605
11/21/11 18:15,4811.401855
11/21/11 18:30,4746.61377
11/21/11 18:45,4752.351563
11/21/11 19:00,4802.074219
11/21/11 19:15,4822.978516
11/21/11 19:30,5144.225098
11/21/11 19:45,5437.629395
11/21/11 20:15,5621.884766
11/21/11 20:45,5545.106934
11/21/11 21:00,5345.572266
11/21/11 21:15,5633.165039
11/21/11 21:30,5565.848145
11/21/11 21:45,5669.148438
11/21/11 22:15,5838.82959
11/21/11 22:30,5738.410645
11/21/11 22:45,5827.857422
11/21/11 23:00,5913.062012
11/21/11 23:15,5616.387695
11/21/11 23:30,5524.999512
11/21/11 23:45,5239.802246
11/22/11 0:00,5061.709473
11/22/11 0:15,4948.150879
11/22/11 0:45,5145.881836
11/22/11 1:00,5346.870117
11/22/11 1:15,5222.681641
11/22/11 2:00,5228.537109
11/22/11 3:15,5417.691895
11/22/11 3:30,5479.910645
11/22/11 4:00,5915.110352
11/22/11 4:15,5816.634766
11/22/11 4:45,6058.637695
11/22/11 5:00,6218.200195
11/22/11 5:15,6378.265625
11/22/11 5:30,6385.330078
11/22/11 5:45,6677.910645
11/22/11 6:00,6692.135254
11/22/11 6:15,6605.544922
11/22/11 6:30,6396.655273
11/22/11 6:45,6097.842285
11/22/11 7:00,5886.557129
11/22/11 7:15,6189.830566
11/22/11 7:30,5957.018066
11/22/11 7:45,5997.95459
11/22/11 8:00,6170.545898
11/22/11 8:15,5896.117676
11/22/11 8:30,5606.921875
11/22/11 8:45,5226.183105
11/22/11 9:00,4939.424316
11/22/11 9:15,4729.909668
11/22/11 9:30,5381.583984
11/22/11 9:45,5883.860352
11/22/11 10:00,6122.361816
11/22/11 10:15,6316.560547
11/22/11 10:30,5948.265625
11/22/11 10:45,5508.102539
11/22/11 11:00,5332.145508
11/22/11 11:15,5400.902344
11/22/11 11:30,5176.84668
11/22/11 11:45,5337.606445
11/22/11 12:00,5107.99707
11/22/11 12:15,4854.397949
11/22/11 12:30,5251.342773
11/22/11 12:45,5289.418457
11/22/11 13:00,5319.246582
11/22/11 13:15,4959.906738
11/22/11 13:30,4641.65332
11/22/11 13:45,4622.674316
11/22/11 14:00,4586.177246
11/22/11 14:15,4912.784668
11/22/11 14:30,5065.87207
11/22/11 14:45,5057.674805
11/22/11 15:00,4991.130371
11/22/11 15:15,4916.262207
11/22/11 15:30,4868.296387
11/22/11 15:45,4725.336914
