Date,CW.FP.TONS,ELE.POWER,MASS.FLOW,OAT
6/26/13 15:30,286.8039856,349.1000061,871.0665894,77.1875
6/26/13 15:45,285.3640137,347.2999878,689.1118164,78.0625
6/26/13 16:00,280.3720093,337.6000061,837.7189941,77.9375
6/26/13 16:15,279.7999878,339.8999939,675.3518066,78
6/26/13 16:30,280.0050049,336.5,665.2672729,78.25
6/26/13 16:45,283.7879944,334,665.2672729,79.4375
6/26/13 17:00,281.9769897,321.1000061,658.8792114,79.25
6/26/13 17:15,281.4049988,317.2999878,658.8792114,78.9375
6/26/13 17:30,283.1749878,317.3999939,667.1342773,79.1875
6/26/13 17:45,285.0830078,319.6000061,667.1342773,80.0625
6/26/13 18:00,291.0310059,343.5,345.5742188,79.625
6/26/13 18:15,283.0830078,313,681.477356,78
6/26/13 18:30,276.9639893,325.7999878,527.9437866,77.5625
6/26/13 18:45,279.4089966,308.2000122,676.7580566,77.5
6/26/13 19:00,285.7340088,307.2000122,676.7580566,76.6875
6/26/13 19:15,272.7269897,319.7999878,678.9169312,75.9375
6/26/13 19:30,264.6690063,329,486.8763123,75.375
6/26/13 19:45,254.9559937,307.3999939,671.1011963,74.4375
6/26/13 20:00,253.7640076,315.5,656.4196777,73.75
6/26/13 20:15,256.07901,298.3999939,655.935791,73.25
6/26/13 20:30,248.4909973,320.6000061,655.935791,71.875
6/26/13 20:45,238.0529938,336.1000061,660.1156616,71.4375
6/26/13 21:00,250.9900055,333.7999878,660.1156616,70.375
6/26/13 21:15,247.1199951,312.1000061,662.9609985,70.0625
6/26/13 21:30,243.6170044,301.2000122,662.9609985,69.5
6/26/13 21:45,243.4790039,295.7999878,666.9081421,69.0625
6/26/13 22:00,258.5010071,309.7000122,666.9081421,68.5
6/26/13 22:15,261.7609863,292.6000061,341.1661987,68.4375
6/26/13 22:30,257.1549988,297,677.5115967,68.125
6/26/13 22:45,253.1009979,303.2000122,336.3454285,67.875
6/26/13 23:00,251.9210052,289.8999939,674.3331909,67.375
6/26/13 23:15,231.5469971,275,674.3331909,67
6/26/13 23:30,235.0659943,268.8999939,669.0568848,66.8125
6/26/13 23:45,228.8329926,276.2000122,669.0568848,66.5625
6/27/13 0:00,225.3970032,281.2999878,667.3394775,66.0625
6/27/13 0:15,219.0070038,263.6000061,667.3394775,66.0625
6/27/13 0:30,211.5879974,268.2999878,381.872406,66.125
6/27/13 0:45,213.8029938,257.7999878,666.5714111,65.875
6/27/13 1:00,211.2030029,271,330.3010559,65.1875
6/27/13 1:15,214.2050018,279.2999878,683.3543701,65.125
6/27/13 1:30,210.2290039,259.7000122,637.7523193,64.75
6/27/13 1:45,208.7649994,264,687.6826172,64.5
6/27/13 2:00,211.598999,261.3999939,687.6826172,64.375
6/27/13 2:15,199.2910004,282.1000061,672.7861328,64.0625
6/27/13 2:30,190.6320038,259.2999878,672.7861328,63.78125
6/27/13 2:45,191.4120026,264.7000122,338.1568298,63.6875
6/27/13 3:00,186.923996,249.6999969,663.6535034,63.40625
