ds,y
1/1/09,15
1/2/09,17
1/3/09,20
1/4/09,14.5
1/5/09,20.5
1/6/09,21
1/7/09,19.5
1/8/09,33
1/9/09,23.5
1/10/09,13
1/11/09,13.5
1/12/09,11
1/13/09,17
1/14/09,19.5
1/15/09,6.5
1/16/09,-0.5
1/17/09,-1.5
1/18/09,3.5
1/19/09,20
1/20/09,7
1/21/09,8.5
1/22/09,11
1/23/09,20.5
1/24/09,29
1/25/09,6
1/26/09,8
1/27/09,12.5
1/28/09,14.5
1/29/09,24.5
1/30/09,22
1/31/09,21
2/1/09,18.5
2/2/09,35
2/3/09,21
2/4/09,16.5
2/5/09,9
2/6/09,4
2/7/09,22.5
2/8/09,39.5
2/9/09,28.5
2/10/09,31
2/11/09,43
2/12/09,46
2/13/09,32
2/14/09,22.5
2/15/09,24.5
2/16/09,26.5
2/17/09,19
2/18/09,23.5
2/19/09,33.5
2/20/09,25.5
2/21/09,19.5
2/22/09,29
2/23/09,24.5
2/24/09,17
2/25/09,15.5
2/26/09,26.5
2/27/09,46
2/28/09,32
3/1/09,15
3/2/09,16.5
3/3/09,11
3/4/09,14
3/5/09,19.5
3/6/09,30.5
3/7/09,49.5
3/8/09,48
3/9/09,40
3/10/09,36
3/11/09,35.5
3/12/09,39
3/13/09,21.5
3/14/09,26
3/15/09,35
3/16/09,38
3/17/09,41
3/18/09,46.5
3/19/09,48
3/20/09,38
3/21/09,24.5
3/22/09,32
3/23/09,27.5
3/24/09,20.5
3/25/09,28
3/26/09,43.5
3/27/09,40.5
3/28/09,45
3/29/09,53
3/30/09,45
3/31/09,34
4/1/09,43
4/2/09,42.5
4/3/09,52.5
4/4/09,46
4/5/09,35.5
4/6/09,44.5
4/7/09,40.5
4/8/09,30.5
4/9/09,34
4/10/09,44
4/11/09,45.5
4/12/09,35
4/13/09,31
4/14/09,38
4/15/09,45.5
4/16/09,43.5
4/17/09,42
4/18/09,47
4/19/09,55.5
4/20/09,52
4/21/09,43
4/22/09,51.5
4/23/09,43
4/24/09,39
