Date, MaxTemperature, MinTemperature, AvgTemperature, Precipitation, Snowfall, SnowDepth,MASS.FLOW
12/6/13,54,32,43,0.42,0,0,497.6704102
12/7/13,35,26,30.5,0.11,1.2,1,483.374939
12/9/13,31,17,24,0.02,0.3,1,547.4728394
12/10/13,38,28,33,0,0,0,588.4658203
12/11/13,28,10,19,0.11,1.9,2,633.3548584
12/12/13,24,11,17.5,0.03,0.4,2,687.1281738
12/14/13,25,11,18,0.06,2.7,5,731.6622314
12/15/13,25,11,18,0.23,3,7,610.0738525
12/16/13,27,9,18,0.02,0.5,7,667.6074829
12/17/13,21,-2,9.5,0.01,0.2,7,732.8231812
12/18/13,24,14,19,0.02,0.4,6,648.914856
12/20/13,46,29,37.5,0,0,4,488.1120605
12/21/13,52,41,46.5,0.03,0,0,382.4590149
12/22/13,61,33,47,0.38,0,0,351.1967163
12/23/13,64,37,50.5,0.06,0,0,468.3084412
12/25/13,27,6,16.5,0.06,1.5,2,705.6039429
12/26/13,22,7,14.5,0.04,1.4,3,611.0844116
12/28/13,39,24,31.5,0,0,2,468.9417114
12/30/13,42,19,30.5,0.6,0.9,1,543.9406738
12/31/13,20,12,16,0.01,0.3,2,597.7779541
1/1/14,25,14,19.5,0.01,0.2,2,611.3114624
1/2/14,20,12,16,0.11,2.3,4,723.8898315
1/3/14,15,-3,6,0.4,6.4,10,856.5187378
1/5/14,25,8,16.5,0,0,8,681.8756714
1/10/14,27,15,21,0.08,1.4,2,579.5787354
1/12/14,50,34,42,0.34,0,0,482.2209778
1/13/14,35,25,30,0,0,0,515.7208862
1/14/14,50,35,42.5,0.07,0,0,519.4068604
1/15/14,42,28,35,0.1,0,0,559.7659302
1/17/14,33,23,28,0,0,0,579.1387329
1/18/14,38,24,31,0.15,2.9,3,632.0966797
1/19/14,24,13,18.5,0.06,0.9,4,666.694519
1/21/14,31,5,18,0.07,1.5,4,820.960022
1/23/14,2,-9,-3.5,0.03,0.4,3,872.6599121
1/25/14,16,-5,5.5,0,0,3,817.388855
1/26/14,24,1,12.5,0.05,1.7,5,832.1566772
1/29/14,10,-10,0,0,0,3,820.5839233
1/30/14,16,-8,4,0,0,3,776.1934814
1/31/14,26,5,15.5,0,0,3,690.0085449
2/1/14,34,20,27,0,0,2,652.7252197
2/14/14,22,18,20,0.5,8.9,12,635.2157593
2/15/14,31,21,26,0.04,0.5,13,659.6129761
2/16/14,27,9,18,0.04,0.6,13,747.8470459
2/17/14,16,-12,2,0.07,1.5,12,689.9423828
2/21/14,44,20,32,0.31,0,7,531.1293335
2/22/14,46,33,39.5,0.26,0,5,475.1615601
2/23/14,46,31,38.5,0,0,4,425.3209839
2/24/14,45,20,32.5,0,0,3,613.4123535
2/27/14,15,2,8.5,0,0,3,708.199646
3/1/14,18,3,10.5,0,0,2,712.2514648
3/2/14,33,14,23.5,0.07,1,2,720.7063599
3/3/14,18,5,11.5,0.02,0.3,2,769.6755981
3/5/14,21,0,10.5,0,0,2,725.3179321
