 MaxTemperature, MinTemperature, AvgTemperature, Precipitation, Snowfall, SnowDepth,SRAD,SOLAR.POWER
77,47,62,0,0,0,595.9,9.241176605
80,50,65,0,0,0,578.6,6.608421326
89,60,74.5,0,0,0,374.6,13.22604179
91,60,75.5,0,0,0,564.9,8.088541985
88,55,71.5,0,0,0,523.3,9.529166222
89,62,75.5,0,0,0,294.6,10.16145802
83,60,71.5,0.66,0,0,601.1,7.5625
81,56,68.5,0,0,0,579.1,7.694791794
86,60,73,0,0,0,332,12.96979141
84,58,71,0,0,0,505.2,8.012499809
85,57,71,0.03,0,0,166.1,11.71770859
71,61,66,0.14,0,0,264.9,11.35052586
78,67,72.5,0.37,0,0,446.5,6.793749809
82,62,72,0.36,0,0,375.4,10.69375038
81,61,71,0,0,0,373.1,12.66250038
80,64,72,0,0,0,493.2,9.727083206
84,64,74,0,0,0,513.1,10.65833378
84,69,76.5,0.61,0,0,527.1,9.623958588
81,54,67.5,0,0,0,518.8,8.054166794
80,51,65.5,0,0,0,576.1,6.915625095
81,51,66,0,0,0,527.7,7.163541794
86,57,71.5,1.06,0,0,382,11.60000038
88,69,78.5,0,0,0,398.2,8.466666222
90,70,80,0.13,0,0,420.6,13.21249962
91,72,81.5,0,0,0,352.7,8.030208588
92,71,81.5,0.17,0,0,215.8,16.90312576
81,64,72.5,0.07,0,0,234.7,14.55208302
77,66,71.5,0,0,0,332.2,11.18124962
87,65,76,0.67,0,0,398.8,7.963541508
79,63,71,0,0,0,397.9,8.111458778
82,56,69,0,0,0,523.2,7.509375095
85,59,72,0,0,0,433.3,9.1875
86,69,77.5,0,0,0,119.9,11.48750019
74,57,65.5,0.62,0,0,473.7,7.620833397
70,47,58.5,0,0,0,511.9,6.905208588
79,51,65,0,0,0,505,6.947916508
84,58,71,0,0,0,219.1,13.84062481
84,68,76,0.08,0,0,449.4,6.438541412
83,57,70,0,0,0,480.3,10.98333359
84,60,72,0,0,0,360.1,8.939583778
88,67,77.5,0.09,0,0,437,9.414583206
79,48,63.5,0,0,0,468.7,10.92083359
81,53,67,0,0,0,142.2,9.508333206
75,57,66,0.12,0,0,431.1,11.55208302
73,51,62,0,0,0,422.9,9.800000191
72,42,57,0,0,0,476.5,10.54479122
73,44,58.5,0,0,0,449.9,11.27083302
78,49,63.5,0,0,0,460.1,11.13229179
82,48,65,0,0,0,456.2,10.84062481
82,54,68,0,0,0,423.2,12.0583334
88,57,72.5,0,0,0,275.7,10.05520821
89,70,79.5,0.49,0,0,216.8,10.71875
78,66,72,0,0,0,341.3,8.978124619
86,56,71,0.19,0,0,430.1,9.184374809
70,45,57.5,0,0,0,411.7,10.26041698
76,47,61.5,0,0,0,428.5,10.43645859
84,58,71,0,0,0,182.6,9.109375
69,40,54.5,0,0,0,396.3,10.63541698
76,45,60.5,0,0,0,200.1,8.277083397
73,59,66,0.81,0,0,253.4,11.94375038
79,62,70.5,0.11,0,0,292,12.30624962
79,54,66.5,0,0,0,401.1,11.3552084
85,49,67,0,0,0,399.8,11.21249962
79,50,64.5,0,0,0,394.5,10.9333334
84,52,68,0,0,0,287.7,8.132291794
76,44,60,0,0,0,346.7,10.40416622
63,34,48.5,0,0,0,397.1,10.59895802
63,38,50.5,0,0,0,297.3,10.59270859
69,49,59,0.04,0,0,371.2,10.08437538
72,41,56.5,0,0,0,365,10.44791698
73,46,59.5,0.22,0,0,79.9,4.814583302
58,49,53.5,0.07,0,0,131.2,8.134374619
57,50,53.5,0.12,0,0,108.6,6.190625191
63,53,58,0.69,0,0,195,9.047916412
67,51,59,0.02,0,0,174.3,7.828421116
66,50,58,0.03,0,0,122.7,7.083333492
70,43,56.5,0,0,0,269.2,10.95833302
75,42,58.5,0,0,0,312.2,10.03125
74,45,59.5,0.17,0,0,44.8,3.211458445
63,47,55,0.09,0,0,249.4,7.298924923
57,37,47,0.02,0,0,319,9.837499619
52,28,40,0,0,0,313.8,10.23541641
